year,qtr,cbsa,low,high
1999,2,32820,1.02,1.14
1999,2,32900,1.61,1.79
1999,2,33100,1.35,1.47
1999,2,33140,.51,1.02
1999,2,33220,.51,1.02
1999,2,33260,.51,1.02
1999,2,33340,.51,1.02
1999,2,33460,.51,1.02
1999,2,33540,1.14,1.25
1999,2,33660,.51,1.02
1999,2,33700,1.61,1.79
1999,2,33740,.51,1.02
1999,2,33780,1.61,1.79
1999,2,33860,1.25,1.35
1999,2,34060,.51,1.02
1999,2,34100,1.35,1.47
1999,2,34580,1.47,1.61
1999,2,34620,.51,1.02
1999,2,34740,.51,1.02
1999,2,34820,1.47,1.61
1999,2,34900,1.47,1.61
1999,2,34940,1.79,2.06
1999,2,34980,1.02,1.14
1999,2,35100,1.14,1.25
1999,2,35300,1.02,1.14
1999,2,35380,.51,1.02
1999,2,35620,.51,1.02
1999,2,35660,1.02,1.14
1999,2,35840,1.47,1.61
1999,2,35980,.51,1.02
1999,2,36100,1.35,1.47
1999,2,36140,1.79,2.06
1999,2,36220,.51,1.02
1999,2,36260,1.61,1.79
1999,2,36420,.51,1.02
1999,2,36500,1.79,2.06
1999,2,36540,.51,1.02
1999,2,36740,1.25,1.35
1999,2,36780,.51,1.02
1999,2,36980,.51,1.02
1999,2,37100,2.06,2.51
1999,2,37340,1.47,1.61
1999,2,37460,1.47,1.61
1999,2,37620,.51,1.02
1999,2,37860,1.47,1.61
1999,2,37900,.51,1.02
1999,2,37980,1.02,1.14
1999,2,38060,1.14,1.25
1999,2,38220,.51,1.02
1999,2,38300,.51,1.02
1999,2,38340,.51,1.02
1999,2,38540,1.35,1.47
1999,2,38860,1.02,1.14
1999,2,38900,1.35,1.47
1999,2,38940,2.06,2.51
1999,2,39140,2.06,2.51
1999,2,39300,1.14,1.25
1999,2,39340,1.35,1.47
1999,2,39380,1.25,1.35
1999,2,39460,2.06,2.51
1999,2,39540,1.02,1.14
1999,2,39580,1.25,1.35
1999,2,39660,1.02,1.14
1999,2,39740,.51,1.02
1999,2,39820,1.47,1.61
1999,2,39900,1.35,1.47
1999,2,40060,1.02,1.14
1999,2,40140,2.06,2.51
1999,2,40220,1.02,1.14
1999,2,40340,.51,1.02
1999,2,40380,.51,1.02
1999,2,40420,.51,1.02
1999,2,40580,.51,1.02
1999,2,40660,.51,1.02
1999,2,40900,1.47,1.61
1999,2,40980,.51,1.02
1999,2,41060,.51,1.02
1999,2,41100,2.06,2.51
1999,2,41140,.51,1.02
1999,2,41180,.51,1.02
1999,2,41420,1.47,1.61
1999,2,41500,1.79,2.06
1999,2,41540,1.35,1.47
1999,2,41620,1.02,1.14
1999,2,41660,.51,1.02
1999,2,41700,1.02,1.14
1999,2,41740,1.61,1.79
1999,2,41860,1.47,1.61
1999,2,41940,1.02,1.14
1999,2,42020,2.06,2.51
1999,2,42100,2.06,2.51
1999,2,42140,1.79,2.06
1999,2,42200,2.06,2.51
1999,2,42220,2.06,2.51
1999,2,42340,1.14,1.25
1999,2,42540,.51,1.02
1999,2,42660,1.14,1.25
1999,2,42680,1.79,2.06
1999,2,42700,1.61,1.79
1999,2,43100,.51,1.02
1999,2,43300,.51,1.02
1999,2,43340,.51,1.02
1999,2,43420,1.61,1.79
1999,2,43580,.51,1.02
1999,2,43620,.51,1.02
1999,2,43780,1.02,1.14
1999,2,43900,.51,1.02
1999,2,44060,1.61,1.79
1999,2,44100,.51,1.02
1999,2,44140,.51,1.02
1999,2,44180,1.02,1.14
1999,2,44220,.51,1.02
1999,2,44300,.51,1.02
1999,2,44420,1.02,1.14
1999,2,44700,1.79,2.06
1999,2,44940,1.35,1.47
1999,2,45060,.51,1.02
1999,2,45220,1.14,1.25
1999,2,45300,1.14,1.25
1999,2,45460,1.02,1.14
1999,2,45500,.51,1.02
1999,2,45540,1.47,1.61
1999,2,45780,.51,1.02
1999,2,45820,.51,1.02
1999,2,45940,.51,1.02
1999,2,46060,1.47,1.61
1999,2,46140,.51,1.02
1999,2,46220,.51,1.02
1999,2,46340,.51,1.02
1999,2,46520,1.79,2.06
1999,2,46540,.51,1.02
1999,2,46660,1.25,1.35
1999,2,46700,2.51,
1999,2,47020,1.02,1.14
1999,2,47220,.51,1.02
1999,2,47260,1.47,1.61
1999,2,47300,1.35,1.47
1999,2,47380,.51,1.02
1999,2,47460,1.02,1.14
1999,2,47580,1.35,1.47
1999,2,47900,1.35,1.47
1999,2,47940,.51,1.02
1999,2,48060,.51,1.02
1999,2,48140,.51,1.02
1999,2,48260,.51,1.02
1999,2,48300,1.61,1.79
1999,2,48540,.51,1.02
1999,2,48620,.51,1.02
1999,2,48660,.51,1.02
1999,2,48700,.51,1.02
1999,2,48900,1.61,1.79
1999,2,49020,.51,1.02
1999,2,49180,1.02,1.14
1999,2,49340,1.14,1.25
1999,2,49420,1.25,1.35
1999,2,49620,1.02,1.14
1999,2,49660,.51,1.02
1999,2,49700,1.61,1.79
1999,2,49740,1.25,1.35
1999,3,10180,1.02,1.14
1999,3,10420,1.14,1.25
1999,3,10500,.51,1.02
1999,3,10540,1.35,1.47
1999,3,10580,.51,1.02
1999,3,10740,1.35,1.47
1999,3,10780,1.02,1.14
1999,3,10900,1.14,1.25
1999,3,11020,.51,1.02
1999,3,11100,.51,1.02
1999,3,11180,.51,1.02
1999,3,11260,1.47,1.61
1999,3,11460,.51,1.02
1999,3,11500,1.02,1.14
1999,3,11540,.51,1.02
1999,3,11700,1.02,1.14
1999,3,12020,1.02,1.14
1999,3,12060,1.14,1.25
1999,3,12100,.51,1.02
1999,3,12220,1.35,1.47
1999,3,12260,1.14,1.25
